Written by	 Adam Chase & Ira Ungerleider\nTranscribed by
Ross	 (staring at Susan) You've tasted it? You've tasted it."
Susan	 Uh huh.'
Ross	 Oh, you've tasted it."
Susan	 You can keep saying it, but it won't stop being true."
Ross	 (he rolls up his sleeve) Gimme the bottle. (Joey hands him the bottle and\nRoss squirts some on his arm.) Gimme the towel. (Joey gives him the towel and he wipes it\noff.) '
Chandler	 Howdy.'
Joey	 (sitting on the otherside of the counter from Chandler) Gimme a box a\njuice. Well, they switched me over to Hombre.'
Chandler	 Well, maybe it's because of the way you're dressed."
Joey	 Or maybe it's because this guy's doing so good they wanna put more people\non it. (Chandler pours some juice in a glass.) You should see this guy, Chandler, he goes\nthrough two bottles a day."
Chandler	 (slides the juice across the counter which Joey catches) What do you\ncare? You're an actor. This is your day job. This isn't supposed to mean anything to you."
Joey	 I know, but, I was the best, you know? I liked being the best. (He downs\nthe glass of juice in one swig.) I don't know. Maybe I should just get outta the game.\nThey need guys up in housewares to serve cheese."
Chandler	 (pours more and slides the refill to Joey) All right, say you do that.\nYou know sooner or later somebody's gonna come along that slices a better cheddar. And\nthen where're you gonna run?"
Joey	 Yeah I guess you're right."
Chandler	 You're damn right I'm right. I say you show this guy what you're made\nof. I say you stand your ground. I say you show him that you are the baddest hombre west\nof the lingerie."
Joey	 I'm gonna do it. (He downs the juice in one swig again.)"
Chandler	 All right. Now go see Miss Kitty and she'll fix you up with a nice\nhooker."
Monica	 I don't know what else to say."
Rachel	 Well that works out good, because I'm not listening."
Monica	 I feel terrible, I really do.'
Rachel	 Oh, I'm sorry, did my back hurt your knife?"
Monica	 Rachel, (they go back inside) say that I'm friends with her, we spend\nsome time together. Is that so terrible?"
Rachel	 Yes.'
Monica	 It's that terrible?"
Rachel	 Yes. Monica, you don't get it. It's bad enough that she's stolen the guy\nwho might actually be the person that I am supposed to be with, but now, she's actually\n(starting to cry), but now she's actually stealing you."
Monica	 Me? What are you talking about? Nobody could steal me from you. I mean,\njust because I'm friends with her doesn't make me any less friends with you. I mean,\n(starting to cry) you're my...We're, we're...Oh, I love you."
Rachel	 I love you too. (They hug.)'
Phoebe	 You guys, um I know that this really doesn't have anything to do with\nme, but um I love you guys too. (Joins in on the hug.) Oh, I really needed that. (Goes and\nsits down.)"
Monica	 Look, I know that you're in a place right now where you really need to\nhate Julie's guts, but she didn't do anything wrong. I mean, she was just a girl who met a\nguy, and now they go out. I really think that if you gave her a chance, you'd like her.\nWould you just give that a chance, for me?"
Rachel	 (crying) I'd do anything for you, you know that."
Monica	 (crying) I'd do anything for you. (They hug again.)"
Phoebe	 Wait, wait, wait, wait! (Runs over and joins in on the hug again.)'
Joey	 Mornin'. (The Hombre man ignores him) I said, mornin'."
Hombre Man	 I heard ya.'
Store Guy	 All right, everybody, I'm openin' the doors. You boys ready?"
Hombre Man	 Ready.'
Joey	 Yeah, I'm ready."
Customer	 You idiot, you stupid cowboy, you blinded me, I'm suing!"
Store Guy	 Oh my god, Todd! What the hell did you do?'
Hombre Man	 I'm sorry. I am such a doofus. I'm so sorry, I'm so sorry."
Annabelle	 (seeing the end result) My god, what happened?'
Joey	 These new kids, they never last. Sooner or later, they all...stop lastin'.\nListen, uh, what do you say I buy you that cup of coffee now?"
Annabelle	 Sure.'
Julie	 So.'
Rachel	 So. I just thought the two of us should hang out for a bit. I mean, you\nknow, we've never really talked. I guess you'd know that, being one of the two of us,\nthough, right?"
Julie	 I know, I probably shouldn't even tell you this, but I'm pretty much\ntotally intimidated by you."
Rachel	 Really? Me?'
Julie	 Yes. Oh my god, are you kidding? Ross is so crazy about you, and I really\nwanted you to like me, and, it's probably me being totally paranoid, but I kinda got the\nfeeling that maybe you don't."
Rachel	 Well, you're not totally paranoid."
Julie	 Oy.'
Rachel	 Um, ok, uh, oh god, um, when you and uh Ross first started going out, it\nwas really hard for me, um, for many reasons, which I'm not gonna bore you with now, but\num, I just, I see how happy he is, you know, and how good you guys are together, and um,\nMonica's always saying how nice you are, and god I hate it when she's right."
Julie	 Thanks. Hey, listen, would you like to go to a movie sometime or\nsomething?'
Rachel	 Yeah, that'd be great. I'd love it."
Julie	 I'd love it too. Shoot, I gotta go. So, I'll talk to you later."
Rachel	 All right, Julie.'
Julie	 Bye. (Gets up.)'
Rachel	 Bye. (After Julie exits.) What a manipulative bitch.'

Ross	 (with a mouthful) That's not bad. "

